epoch,train_loss,train_dice_esophagus,train_dice_heart,train_dice_trachea,train_dice_aorta,train_dice_fg,train_dice_legacy_fg,val_loss,val_dice_esophagus,val_dice_heart,val_dice_trachea,val_dice_aorta,val_dice_fg,val_dice_legacy_fg,lr,seconds,is_best
0,0.9136283951508087,0.0005312465660059958,0.03654334754306977,0.0007928599305552699,0.0033729169355419955,0.010310092743793258,0.19954583048820496,0.4100691839404728,0.0,0.0,0.0,0.0,0.0,0.5483606457710266,0.0005,23.3,True
1,0.22610457488480776,0.0,0.0,1.8827073331450627e-05,0.0,4.706768332862657e-06,0.5647866129875183,0.10274540879156278,0.0,0.0,0.0,0.0,0.0,0.5983606576919556,0.0005,20.7,False
2,0.07477096838628604,0.0,0.0,0.0,0.0,0.0,0.581913411617279,0.05201163013344225,0.0,0.0,0.0,0.0,0.0,0.5969945192337036,0.0005,20.8,False
3,0.04365439796899432,0.0,0.0,0.00026301728244234983,0.0,6.575432061058746e-05,0.5951572060585022,0.036526883231556936,0.0,0.0,0.0004856333468231485,0.0,0.00012140833670578713,0.6071333289146423,0.0005,21.1,True
4,0.03151769821054537,0.0,0.0040424145702978405,0.08448296217314527,0.06016682647548228,0.03717305080473135,0.5447280406951904,0.02728022410655799,0.0,0.0017061380911916023,0.000518462859812886,0.4419108879162241,0.11103387221680715,0.583156168460846,0.0005,21.0,True
5,0.02247811893724095,0.0,0.4992926126618093,0.0019325674977620354,0.5488521997554094,0.2625193449787452,0.6047899127006531,0.021688463324276,0.0,0.7775946998451696,0.0006980802792321117,0.5013918106009201,0.31992114768133045,0.650023341178894,0.0005,21.0,True
6,0.016449683178321753,0.0,0.8714736569166381,0.0005264753040264808,0.5596598406744876,0.35791499322378806,0.6125118732452393,0.02418702207505703,0.0,0.7509076119582376,4.995004995004995e-05,0.36408236125552723,0.27875998081592873,0.6377983689308167,0.0005,21.0,False
7,0.012949745678646284,0.0,0.912261709897979,5.361617258159188e-05,0.7012737057300469,0.40339725795015186,0.6461267471313477,0.01567570534028599,0.0,0.8784622939987358,0.0,0.6019346868057477,0.37009924520112086,0.6668269038200378,0.0005,21.0,True
8,0.010292787730123943,0.0,0.9306383585590444,2.0534935058267875e-05,0.782414965525997,0.4282684647550249,0.6742509007453918,0.016459974332753084,0.0,0.8673266294404718,0.0,0.5691258449063235,0.3591131185866988,0.6693460941314697,0.0005,20.7,False
9,0.008970677058500034,0.0,0.9359512420190764,0.0,0.8120129157295046,0.43699103943714523,0.6949125528335571,0.014916528030501112,0.0,0.8900931904371351,0.0,0.5771062543339547,0.3667998611927724,0.6892267465591431,0.0005,20.9,False
10,0.008075300850127178,0.0,0.9405738043997273,0.0,0.8300557025484316,0.44265737673703975,0.7109337449073792,0.015642608684467395,0.0,0.8462155098589792,0.0,0.6134872185702243,0.36492568210730086,0.6956508159637451,0.0005,21.0,False
11,0.007403730071827812,0.0,0.9409378557960825,3.223726627981947e-05,0.8434026675794727,0.44609319016045873,0.7167186737060547,0.015196954401756597,0.0,0.8806535467160854,0.0,0.5818757682500025,0.36563232874152196,0.6861063838005066,0.0005,20.7,False
12,0.006358143180627217,0.0,0.9523571597137119,0.001656756596159612,0.8545848250109177,0.4521496853301973,0.7094363570213318,0.016627807955196857,0.0,0.836240880099026,0.005021583031738544,0.5999133721149844,0.3602939588114372,0.6896663904190063,0.0005,20.7,False
13,0.006094132784210547,0.0,0.9482356448480223,0.08741815145174091,0.863893142476572,0.4748867346940838,0.714590847492218,0.01879159276216777,0.0,0.7303363262284421,0.17489274813806546,0.5775008939858043,0.37068249208807796,0.6957241296768188,0.0005,21.2,True
14,0.0056271413130099986,0.0,0.9507825076672453,0.5486295084574205,0.8738135403137349,0.5933063891096002,0.77671879529953,0.01628683375159238,0.0,0.8149214232448092,0.5596610851048334,0.5853925687411813,0.489993769272706,0.7350201606750488,0.0005,21.0,True
15,0.00544452757416979,0.0,0.9505946257231898,0.7180196359896471,0.8753394463390428,0.63598842701297,0.797878623008728,0.012479259297454163,0.0,0.8952645896327212,0.5308590343212721,0.6616405747399902,0.5219410496734959,0.7518627643585205,0.0005,20.9,True
16,0.004818162651140264,0.0,0.9565499532357205,0.7586796310501217,0.8873428496230621,0.6506431084772261,0.8042324185371399,0.013244419443704511,0.0,0.9020184851198699,0.5024026834843208,0.6363295929627886,0.5101876903917448,0.7444893717765808,0.0005,20.8,False
17,0.004754544702251692,0.0,0.9546997698558926,0.7722333044419422,0.891544161079275,0.6546193088442774,0.8092657923698425,0.017434279525490558,0.0,0.8699465524259653,0.5827408702799333,0.6033730799183238,0.5140151256560556,0.7431437969207764,0.0005,21.0,False
18,0.004461148467505873,0.0,0.9585642842358914,0.7973944320967233,0.8915401026208403,0.6618747047383637,0.8137790560722351,0.01474767331547691,0.0,0.8425306958985661,0.6446592837125942,0.5922158848565102,0.5198514661169176,0.7431085705757141,0.0005,20.9,False
19,0.004117684124701158,0.0,0.9619246422801823,0.8062110477968181,0.8953943349326899,0.6658825062524226,0.8169044256210327,0.015294683740079484,0.0,0.8798868702834968,0.5869956438535352,0.6368188321577277,0.52592533657369,0.7542288303375244,0.0005,21.0,True
20,0.004027065899976326,0.0,0.9614188934159995,0.8142704626165671,0.8999572569029295,0.668911653233874,0.8188251852989197,0.014116513604898026,0.0,0.8802254149965736,0.612490052336069,0.6333176178564799,0.5315082712972806,0.7522363066673279,0.0005,21.2,True
21,0.003890285619155955,0.0,0.9640081319457299,0.8216251162301813,0.9000368451560079,0.6714175233329798,0.8199561834335327,0.014180917523639357,0.0,0.8940513909262322,0.6475959105419851,0.6267160234175744,0.5420908312214479,0.7393922209739685,0.0005,20.9,True
22,0.0040294770571857,0.0,0.9600938332644647,0.8237559723623629,0.8964063385907609,0.6700640360543971,0.8202980160713196,0.0125518564071567,0.0,0.8886690634844013,0.7235013985334542,0.6732744685526205,0.571361232642619,0.759303867816925,0.0005,20.9,True
23,0.003607130573835572,0.0,0.9644224403890007,0.8424603683361332,0.908193551591746,0.6787690900792199,0.8250358700752258,0.013552078012435232,0.0,0.9010379978080557,0.6206050854173106,0.6448952170985586,0.5416345750809812,0.751476526260376,0.0005,20.8,False
24,0.0034659902123099842,0.0,0.966054137851074,0.8450094556933844,0.9102059291207166,0.6803173806662938,0.8256093263626099,0.01475923022207217,0.0,0.8724079836444965,0.5467887832647198,0.6253047726380332,0.5111253848868124,0.7418488264083862,0.0005,20.9,False
