epoch,train_loss,train_dice_esophagus,train_dice_heart,train_dice_trachea,train_dice_aorta,train_dice_fg,train_dice_legacy_fg,val_loss,val_dice_esophagus,val_dice_heart,val_dice_trachea,val_dice_aorta,val_dice_fg,val_dice_legacy_fg,lr,seconds,is_best
0,0.9041153622694337,0.00013668903358617275,0.026741793318531718,0.0009914899942626376,0.006197719444367382,0.008516922947686979,0.29780369997024536,0.449831957390549,0.0,0.0,0.0,0.0,0.0,0.5701956152915955,0.0005,21.2,True
1,0.2711762131992101,0.0,0.0,0.0,0.0,0.0,0.5589812397956848,0.14690424057595228,0.0,0.0,0.0,0.0,0.0,0.6067318916320801,0.0005,19.0,False
2,0.10198013248656868,0.0,0.0,0.0,0.0,0.0,0.5720030665397644,0.07217233566516036,0.0,0.0,0.0,0.0,0.0,0.6067318916320801,0.0005,18.9,False
3,0.05832176485785286,0.0,0.0,0.0,0.0,0.0,0.5765032768249512,0.04726143090755021,0.0,0.0,0.0,0.0,0.0,0.6067318916320801,0.0005,19.0,False
4,0.03677318580106858,0.0,0.6653446270655897,0.0,0.09744857679815273,0.19069830096593562,0.5492279529571533,0.03035476471408518,0.0,0.8332751790984292,0.0,0.0,0.2083187947746073,0.6002070903778076,0.0005,19.0,True
5,0.025323302339796627,0.0,0.8255185598171131,0.0,0.0,0.20637963995427827,0.5342506766319275,0.02558236058220404,0.0,0.7889313649274928,0.0,0.0,0.1972328412318732,0.555049479007721,0.0005,18.9,False
6,0.020079044172318157,0.0,0.8452091355098078,0.0,0.0,0.21130228387745195,0.5388138294219971,0.021480586131983392,0.0,0.7947204743259993,0.0,0.0,0.19868011858149984,0.5577836036682129,0.0005,18.9,False
7,0.016561443030275975,0.0,0.8612988558657518,0.0,0.0,0.21532471396643796,0.5467146635055542,0.01926486803338342,0.0,0.814815963883311,0.0,0.0,0.20370399097082775,0.5637333989143372,0.0005,18.9,False
8,0.01482920583183749,0.0,0.8749590659941973,0.0,0.0,0.21873976649854932,0.5562311410903931,0.01838891121661376,0.0,0.8287206043440524,0.0,0.0,0.2071801510860131,0.5752090811729431,0.0005,18.9,False
9,0.013213520245882897,0.0,0.8847348689223172,0.0,0.0,0.2211837172305793,0.5710757374763489,0.016720703068197867,0.0,0.8570393026964064,0.0,0.0,0.2142598256741016,0.5917854905128479,0.0005,19.3,True
10,0.011844735139046741,0.0,0.8897344469966821,0.0,0.0,0.22243361174917053,0.5787203311920166,0.016839222366272243,0.0,0.8454000971261749,0.0,0.0,0.21135002428154373,0.5938649773597717,0.0005,19.1,False
11,0.011034030651685067,0.0,0.8957025282074673,0.0,0.0,0.22392563205186683,0.5852822065353394,0.01606023187723455,0.0,0.8398419889483723,0.0,0.0,0.20996049723709306,0.6010209918022156,0.0005,19.0,False
12,0.009398799507796126,0.0,0.9207979910670703,0.4550966580392041,0.4521371754608962,0.4570079561417927,0.634566068649292,0.015434480520016556,0.0,0.8791238489823325,0.5940234518594194,0.5260528219201549,0.49980003069047674,0.6936394572257996,0.0005,19.2,True
13,0.007787397849752314,0.0,0.9434853550700649,0.693827599918368,0.7489397062874849,0.5965631653189795,0.7236699461936951,0.01653358397616603,0.0,0.8554092380268516,0.5650381238515629,0.5517259847670271,0.4930433366613604,0.7102149724960327,0.0005,19.0,False
