epoch,train_loss,train_dice_esophagus,train_dice_heart,train_dice_trachea,train_dice_aorta,train_dice_fg,train_dice_legacy_fg,val_loss,val_dice_esophagus,val_dice_heart,val_dice_trachea,val_dice_aorta,val_dice_fg,val_dice_legacy_fg,lr,seconds,is_best
0,0.8085204698884115,0.0018905066096894288,0.008842544667841928,0.000564826124888664,0.002062947166444259,0.00334020614221607,0.31052932143211365,0.3820160666237707,0.0,0.0,0.0,0.0,0.0,0.6163934469223022,0.0005,22.5,True
1,0.19526373291066282,0.0,0.0,0.0,0.00016782658534142533,4.195664633535633e-05,0.5289589166641235,0.10854124012200729,0.0,0.0,0.0,0.0,0.0,0.6275956034660339,0.0005,20.4,False
2,0.06911312021505056,0.0015564150815044447,0.10626813742812219,5.120666702410892e-05,0.003115738075594348,0.027747874313061274,0.5564786791801453,0.05377973645277645,0.0,0.4048541639983572,0.0,0.0,0.1012135409995893,0.6199772357940674,0.0005,20.4,True
3,0.036358744465342326,9.544763842358796e-05,0.7483227254438402,0.0,4.096733811986776e-05,0.1871147851050959,0.5972064137458801,0.037446308208872445,0.0,0.6143556429226269,0.0,0.0,0.15358891073065672,0.6540735363960266,0.0005,20.2,True
4,0.024702339823603123,0.0,0.8294545197912666,0.0,0.0,0.20736362994781665,0.6130130887031555,0.03024205032169171,0.0,0.715253900650569,0.0,0.0,0.17881347516264226,0.6232346296310425,0.0005,20.5,True
5,0.01924753067856681,0.0,0.8699717693800597,0.0,0.0,0.21749294234501493,0.6210254430770874,0.029666654996411957,0.0,0.6003544883453161,0.0,0.0,0.15008862208632903,0.6500009894371033,0.0005,20.1,False
6,0.01612635833810139,0.0,0.8856632683765444,0.0,0.0,0.2214158170941361,0.6266345977783203,0.027754811189420844,0.0,0.7147081610885395,0.0,0.0,0.17867704027213488,0.6381109952926636,0.0005,20.1,False
7,0.014300081455452161,0.0,0.8956466112210161,0.0,0.0,0.22391165280525402,0.6321460604667664,0.029218569837267633,0.0,0.6604489394713898,0.0,0.0,0.16511223486784746,0.6494506597518921,0.0005,20.4,False
8,0.012629134268513103,0.0,0.9148860239801432,0.0,0.0,0.2287215059950358,0.6422214508056641,0.031314253418341924,0.0,0.6204933891300489,0.0,0.0,0.15512334728251223,0.6434575915336609,0.0005,20.2,False
9,0.011461110177473626,0.0,0.9207628199161241,0.0,0.0,0.23019070497903102,0.6426118612289429,0.029682291095630954,0.0,0.6982786130387495,0.0,0.0,0.17456965325968737,0.6492985486984253,0.0005,20.2,False
10,0.010885868687182665,0.0,0.922574513893433,0.0,0.0,0.23064362847335826,0.6442207098007202,0.0276895711112403,0.0,0.687747456474203,0.0,0.0,0.17193686411855075,0.6501783132553101,0.0005,20.3,False
11,0.009807580040184723,0.0,0.9278769524161449,0.0,0.12585038860977804,0.26343183525648073,0.6511126160621643,0.026070970185505957,0.0,0.7606704747020865,0.0,0.10798466722717526,0.21716378548231544,0.6392284631729126,0.0005,20.3,True
12,0.008908648936938041,0.0,0.9328328064960788,0.0,0.5999808016311147,0.38320340203179837,0.6964819431304932,0.03097140925490986,0.0,0.6796321308324246,0.0,0.19916505748860536,0.21969929708025748,0.6370689272880554,0.0005,20.3,True
13,0.00818243666889051,0.0,0.9329438323657573,0.0,0.7006056516852249,0.4083873710127456,0.7198269367218018,0.022728236251429695,0.0,0.795505879014781,0.0,0.31185285365638304,0.276839683167791,0.6547250151634216,0.0005,20.4,True
14,0.007312497585779716,0.0,0.9386262499772902,0.0,0.7369370431114851,0.41889082327219385,0.734082043170929,0.02436579127755502,0.0,0.7601960934921761,0.0,0.26762198096659157,0.25695451861469193,0.65313321352005,0.0005,20.3,False
15,0.006932942155173455,0.0,0.9410642492631139,0.0,0.7594728068526881,0.4251342640289505,0.7401623725891113,0.027009663963184247,0.0,0.6125666672537528,0.0,0.21849962074602355,0.20776657199994408,0.65399569272995,0.0005,20.3,False
16,0.006256224785762557,0.0,0.9470746728654977,0.0,0.7750334106947122,0.43052702089005246,0.745075523853302,0.024874923796944684,0.0,0.7188982435165362,0.0,0.3750769365692182,0.2734937950214386,0.6666346192359924,0.0005,20.5,False
17,0.006185598083423509,0.0,0.945982475282025,0.0,0.7882679493507411,0.43356260615819153,0.7504450082778931,0.02308281930530464,0.0,0.802504015778263,0.0,0.30715063780191254,0.2774136633950439,0.6685488224029541,0.0005,20.3,True
18,0.0059213991233717555,0.0,0.9459847368042998,0.0,0.7905274555986052,0.43412804810072625,0.7493768930435181,0.027992633445461726,0.0,0.6811908581709367,0.0,0.288086402383407,0.24231931513858593,0.6627906560897827,0.0005,20.2,False
19,0.005525703121536667,0.0,0.9520404759827706,0.0,0.8068359028646753,0.4397190947118615,0.7535063624382019,0.027964557264425347,0.0,0.6867059766401546,0.0,0.25200829268502234,0.23467856733129425,0.6588902473449707,0.0005,20.5,False
20,0.005363576255656948,0.0,0.9532948141814561,0.0,0.8059903435826494,0.4398212894410264,0.7552011609077454,0.023603301366750637,0.0,0.7997051647533456,0.0,0.28331399469825486,0.27075478986290014,0.6598339080810547,0.0005,20.4,False
21,0.005238322607941053,0.0,0.9530190195911871,0.0,0.8096955303353464,0.4406786374816334,0.7556325793266296,0.025928773610402182,0.0,0.7802906026646337,0.0,0.20580170574782164,0.24652307710311383,0.6569480895996094,0.0005,20.2,False
22,0.0051031677023027485,0.0,0.9532574437441511,0.0,0.8180351475233292,0.44282314781687004,0.7569327354431152,0.029019518610679685,0.0,0.6580016530217376,0.0,0.2764876906120474,0.23362233590844628,0.65397047996521,0.0005,20.4,False
23,0.0051518516928661965,0.0,0.9553565678871767,0.0,0.8204515910366517,0.4439520397309571,0.7567976117134094,0.030716061189235443,0.0,0.6927823646534724,0.0,0.28052838351508796,0.24332768704214008,0.6584281325340271,0.0005,20.4,False
